description,industry,level,size,line_code,value
Business status Alert Level 4: Fully operational,total,0,6–19 employees,C0301.01,6054
Business status Alert Level 4: Fully operational,total,0,20–49 employees,C0301.01,1650
Business status Alert Level 4: Fully operational,total,0,50–99 employees,C0301.01,735
Business status Alert Level 4: Fully operational,total,0,100+ employees,C0301.01,711
Business status Alert Level 4: Fully operational,"Agriculture, forestry, & fishing",1,total,C0301.01,2175
Business status Alert Level 4: Fully operational,Agriculture,2,total,C0301.01,1839
Business status Alert Level 4: Fully operational,Commercial fishing,2,total,C0301.01,18
Business status Alert Level 4: Fully operational,Forestry & logging,2,total,C0301.01,6
Business status Alert Level 4: Fully operational,"Agriculture, forestry, & fishing support services",2,total,C0301.01,312
Business status Alert Level 4: Fully operational,Mining,1,total,C0301.01,18
Business status Alert Level 4: Fully operational,Manufacturing,1,total,C0301.01,636
Business status Alert Level 4: Fully operational,"Food, beverage, & tobacco",2,total,C0301.01,378
Business status Alert Level 4: Fully operational,"Textile, clothing, footwear, & leather",2,total,C0301.01,15
Business status Alert Level 4: Fully operational,Wood & paper product,2,total,C0301.01,27
Business status Alert Level 4: Fully operational,"Printing, publishing, & recorded media",2,total,C0301.01,27
Business status Alert Level 4: Fully operational,"Petroleum, coal, chemical, & associated product",2,total,C0301.01,111
Business status Alert Level 4: Fully operational,Non-metallic mineral product,2,total,C0301.01,9
Business status Alert Level 4: Fully operational,Metal product,2,total,C0301.01,24
Business status Alert Level 4: Fully operational,Transport and industrial machinery & equipment,2,total,C0301.01,9
Business status Alert Level 4: Fully operational,Other machinery & equipment,2,total,C0301.01,21
Business status Alert Level 4: Fully operational,Other manufacturing,2,total,C0301.01,12
Business status Alert Level 4: Fully operational,"Electricity, gas, water, & waste services",1,total,C0301.01,60
Business status Alert Level 4: Fully operational,Construction,1,total,C0301.01,6
Business status Alert Level 4: Fully operational,Wholesale trade,1,total,C0301.01,645
Business status Alert Level 4: Fully operational,Machinery & equipment wholesaling,2,total,C0301.01,183
Business status Alert Level 4: Fully operational,Other wholesale trade,2,total,C0301.01,462
